Country,State,Route,Active,Latitude,Longitude,Stratum
840,53,001,1,48.3571764,-115.0332204,64
840,53,002,1,48.1080187,-114.4619289,65
840,53,003,0,48.8084087,-113.4130179,65
840,53,013,1,47.2997227,-115.1044549,64
840,53,014,1,47.7185447,-114.2006069,65
840,53,015,1,47.1824757,-113.9489899,64
840,53,016,1,47.3060617,-112.4118119,65
840,53,025,1,46.9175377,-114.4626919,64
840,53,026,1,46.7236933,-113.6681583,64
840,53,027,1,46.6205137,-112.4949499,65
840,53,028,1,46.1235467,-111.9188609,65
840,53,036,1,45.8507057,-113.9522469,64
840,53,037,0,45.3055747,-112.5643159,65
840,53,038,0,45.9146442,-111.7636564,65
840,53,039,1,45.5761407,-110.7878949,64
840,53,041,1,45.5642095,-108.7802397,39
840,53,046,1,44.5869032,-112.0258030,65
840,53,047,1,44.5987327,-111.5237969,65
840,53,063,1,47.6497425,-115.1742900,64
840,53,064,1,47.0312302,-114.3938692,64
840,53,074,1,47.6601727,-114.1345589,65
840,53,075,1,46.9078696,-114.8109307,64
840,53,076,0,46.0502147,-113.8339539,64
840,53,086,1,45.7461729,-114.4473183,64
840,53,087,1,45.5347235,-113.0794573,65
840,53,097,1,44.5611413,-112.7108930,65
840,53,101,1,47.8265037,-115.5453879,64
840,53,103,1,48.8083870,-113.4129200,65
840,53,137,1,45.3790727,-112.6419759,65
840,53,138,1,45.9146442,-111.7636560,65
840,53,176,1,46.0090781,-113.8492175,64
840,53,301,1,48.4924040,-114.4291020,64
840,53,302,1,48.4413490,-113.2184360,65
840,53,303,1,48.2122340,-112.6360500,65
840,53,312,1,47.8851395,-113.8658750,64
840,53,313,1,47.0270330,-112.0506250,65
840,53,315,1,47.3462700,-110.8128570,65
840,53,322,1,46.0839170,-113.5068820,64
840,53,323,1,46.4813620,-112.0065890,65
840,53,324,0,46.8819560,-111.3586270,65
840,53,325,1,46.8856870,-110.2534200,65
840,53,332,1,45.1288300,-112.1729050,65
840,53,333,1,45.7436180,-111.2449870,65
840,53,334,1,45.8738370,-110.7245650,65
840,53,336,1,45.3751070,-108.0587690,64
840,53,341,1,44.8526210,-111.0627760,64
840,53,424,1,46.6757050,-111.1407220,65
840,53,800,1,48.6986692,-114.1929772,64
840,53,900,1,48.6915527,-113.5308299,64
840,53,901,1,46.3310791,-114.1724926,65
840,53,902,1,46.5749907,-113.8314390,65
840,53,903,1,46.7256818,-113.5899850,65
840,53,905,0,47.0305267,-113.2368619,65
840,53,906,1,46.8935108,-113.3867024,65
840,53,907,1,45.2050400,-108.7538747,64
840,53,955,0,47.0307201,-113.2372617,65
840,53,956,1,47.0307201,-113.2372610,65
